category_name,name,price,note
"قهوة ساخنة","قهوة تركي",30,"سنجل"
"قهوة ساخنة","قهوة تركي",40,"دبل"
"قهوة ساخنة","قهوة اسبشيل",40,"سنجل"
"قهوة ساخنة","قهوة اسبشيل",50,"دبل"
"قهوة ساخنة","قهوة فرنساوي",50,""
"قهوة ساخنة","قهوة بندق",55,""
"قهوة ساخنة","قهوة نوتيلا",60,""
"قهوة ساخنة","إسبريسو",35,"سنجل"
"قهوة ساخنة","إسبريسو",45,"دبل"
"قهوة ساخنة","ريستريتو",35,"سنجل"
"قهوة ساخنة","ريستريتو",45,"دبل"
"قهوة ساخنة","ميكاتو",40,"سنجل"
"قهوة ساخنة","ميكاتو",50,"دبل"
"قهوة ساخنة","أفوكاتو",40,"سنجل"
"قهوة ساخنة","أفوكاتو",50,"دبل"
"قهوة ساخنة","كون بانا",40,""
"قهوة ساخنة","كورتادو",50,"كلاسيك أو موكا"
"قهوة ساخنة","كابتشينو",75,""
"قهوة ساخنة","لاتيه",65,""
"قهوة ساخنة","فلات وايت",60,""
"قهوة ساخنة","أمريكانو",50,"كلاسيك أو بلاك"
"قهوة ساخنة","نسكافيه",55,"كلاسيك أو بلاك"
"قهوة ساخنة","هوت شوكليت",70,"دارك أو وايت"
"قهوة ساخنة","هوت شوكليت مارشميلو",80,""
"قهوة ساخنة","هوت موكا",60,"دارك أو وايت"
"فرابيه وآيس كوفي","فرابيه كراميل",85,""
"فرابيه وآيس كوفي","فرابتشينو كلاسيك",75,""
"فرابيه وآيس كوفي","فرابيه موكاتشينو",85,""
"فرابيه وآيس كوفي","فرابيه لوتس ستروبري",85,""
"فرابيه وآيس كوفي","فانيلا فرابتشينو",70,""
"فرابيه وآيس كوفي","فرابيه بستشيو",100,""
"فرابيه وآيس كوفي","آيس موكا",80,"وايت أو دارك"
"فرابيه وآيس كوفي","آيس أمريكان",55,""
"فرابيه وآيس كوفي","آيس كوفي",65,""
"فرابيه وآيس كوفي","آيس كراميل ميكاتو",80,""
"فرابيه وآيس كوفي","آيس سبينش لاتيه",80,""
"فرابيه وآيس كوفي","آيس ماتش لاتيه",90,""
"فرابيه وآيس كوفي","ستروبري ماتش لاتيه",95,""
"فرابيه وآيس كوفي","ماتش بستشيو",110,""
"فرابيه وآيس كوفي","إيكا آيس كوفي",85,""
"فرابيه وآيس كوفي","آيس نيكتو أرش",75,""
"موهيتو فيزي","موهيتو كلاسيك",65,""
"موهيتو فيزي","موهيتو فراولة، خوخ، كيوي",70,""
"موهيتو فيزي","موهيتو بلوبيري، باشون فروت",70,""
"موهيتو فيزي","موهيتو أمري باشون",70,""
"موهيتو فيزي","موهيتو شيري بيري",70,""
"موهيتو فيزي","موهيتو ريد بول",85,""
"موهيتو فيزي","هامر ريد بول",95,""
"موهيتو فيزي","بوبا ستروبري",70,""
"موهيتو فيزي","بوبا بلوبيري",70,""
"موهيتو فيزي","بوبا باشون فروت",70,""
